landmark_name,image_url,cluster1,cluster2,cluster3
32.05,landmark/32.05/2.jpg
32.05,landmark/32.05/3.jpg
Altes Tramdepot,landmark/Altes Tramdepot/1.jpg
Altes Tramdepot,landmark/Altes Tramdepot/3.jpg
Ambasada,landmark/Ambasada/1.jpg
Arsenał,landmark/Arsenał/2.jpg
Atlantis Water Adventure,landmark/Atlantis Water Adventure/1.jpg
Atlantis Water Adventure,landmark/Atlantis Water Adventure/3.jpg
Atze Peng,landmark/Atze Peng/3.jpg
Baja Brewing Company,landmark/Baja Brewing Company/1.jpg
Baja Brewing Company,landmark/Baja Brewing Company/2.jpg
Baywalk Mall,landmark/Baywalk Mall/1.jpg
Beach,landmark/Beach/2.jpg
Beach,landmark/Beach/3.jpg
Bistronomy,landmark/Bistronomy/1.jpg
Bistronomy,landmark/Bistronomy/2.jpg
Bistronomy,landmark/Bistronomy/3.jpg
Bogota Beer Company,landmark/Bogota Beer Company/2.jpg
Boston,landmark/Boston/3.jpg
Bowe's Lounge,landmark/Bowe's Lounge/3.jpg
Brodarica beach,landmark/Brodarica beach/1.jpg
Brodarica beach,landmark/Brodarica beach/2.jpg
Brodarica beach,landmark/Brodarica beach/3.jpg
Buitenhof,landmark/Buitenhof/1.jpg
Buitenhof,landmark/Buitenhof/2.jpg
Buitenhof,landmark/Buitenhof/3.jpg
Carmen,landmark/Carmen/1.jpg
Carmen,landmark/Carmen/3.jpg
Casa de la Gastronomia Peruana,landmark/Casa de la Gastronomia Peruana/1.jpg
Casa de la Gastronomia Peruana,landmark/Casa de la Gastronomia Peruana/2.jpg
Casa de la Gastronomia Peruana,landmark/Casa de la Gastronomia Peruana/3.jpg
Casa E,landmark/Casa E/1.jpg
Casa E,landmark/Casa E/2.jpg
Casa E,landmark/Casa E/3.jpg
Cava Baja,landmark/Cava Baja/1.jpg
Cava Baja,landmark/Cava Baja/2.jpg
Cerveceria Nacional,landmark/Cerveceria Nacional/1.jpg
Cerveceria Nacional,landmark/Cerveceria Nacional/2.jpg
Cerveceria Nacional,landmark/Cerveceria Nacional/3.jpg
Cerveceria Truf,landmark/Cerveceria Truf/1.jpg
Cerveceria Truf,landmark/Cerveceria Truf/2.jpg
Cerveceria Truf,landmark/Cerveceria Truf/3.jpg
Citra XXI,landmark/Citra XXI/1.jpg
Citra XXI,landmark/Citra XXI/2.jpg
City marine,landmark/City marine/1.jpg
City marine,landmark/City marine/2.jpg
City marine,landmark/City marine/3.jpg
Conservatorio Nacional de Musica - Sede Historica,landmark/Conservatorio Nacional de Musica - Sede Historica/1.jpg
Conservatorio Nacional de Musica - Sede Historica,landmark/Conservatorio Nacional de Musica - Sede Historica/2.jpg
Cossab,landmark/Cossab/1.jpg
Cossab,landmark/Cossab/2.jpg
Cossab,landmark/Cossab/3.jpg
De Golfslag Beachclub,landmark/De Golfslag Beachclub/1.jpg
De Golfslag Beachclub,landmark/De Golfslag Beachclub/2.jpg
De Golfslag Beachclub,landmark/De Golfslag Beachclub/3.jpg
De Munt,landmark/De Munt/1.jpg
De Munt,landmark/De Munt/2.jpg
De Munt,landmark/De Munt/3.jpg
De Scheldekaaien,landmark/De Scheldekaaien/1.jpg
De Scheldekaaien,landmark/De Scheldekaaien/2.jpg
De Scheldekaaien,landmark/De Scheldekaaien/3.jpg
Dhiffushi Bandharu,landmark/Dhiffushi Bandharu/1.jpg
Dhiffushi Bandharu,landmark/Dhiffushi Bandharu/3.jpg
Dresdner Zwinger,landmark/Dresdner Zwinger/1.jpg
Dresdner Zwinger,landmark/Dresdner Zwinger/2.jpg
Dresdner Zwinger,landmark/Dresdner Zwinger/3.jpg
Drunk Sinatra,landmark/Drunk Sinatra/3.jpg
Edible Canada at the Market,landmark/Edible Canada at the Market/1.jpg
Edible Canada at the Market,landmark/Edible Canada at the Market/2.jpg
Einstein-Haus,landmark/Einstein-Haus/2.jpg
Einstein-Haus,landmark/Einstein-Haus/3.jpg
El Squid Roe,landmark/El Squid Roe/1.jpg
El Squid Roe,landmark/El Squid Roe/2.jpg
Erasmus Corner,landmark/Erasmus Corner/1.jpg
Erasmus Corner,landmark/Erasmus Corner/2.jpg
Erasmus Corner,landmark/Erasmus Corner/3.jpg
Fame,landmark/Fame/3.jpg
Filmstaden Soder,landmark/Filmstaden Soder/1.jpg
Filmstaden Soder,landmark/Filmstaden Soder/2.jpg
Filmstaden Soder,landmark/Filmstaden Soder/3.jpg
Galerie des Glaces,landmark/Galerie des Glaces/1.jpg
Galerie des Glaces,landmark/Galerie des Glaces/2.jpg
Galerie des Glaces,landmark/Galerie des Glaces/3.jpg
Garden of the Groves,landmark/Garden of the Groves/1.jpg
Garden of the Groves,landmark/Garden of the Groves/2.jpg
Garden of the Groves,landmark/Garden of the Groves/3.jpg
Grand Canal Wharf,landmark/Grand Canal Wharf/3.jpg
Grote Markt,landmark/Grote Markt/1.jpg
Grote Markt,landmark/Grote Markt/2.jpg
Grote Markt,landmark/Grote Markt/3.jpg
Haagse Bos,landmark/Haagse Bos/1.jpg
Haagse Bos,landmark/Haagse Bos/3.jpg
Hacienda,landmark/Hacienda/2.jpg
Hacienda,landmark/Hacienda/3.jpg
Harischandra Ghat,landmark/Harischandra Ghat/1.jpg
Harischandra Ghat,landmark/Harischandra Ghat/2.jpg
Harischandra Ghat,landmark/Harischandra Ghat/3.jpg
HD Sport Center,landmark/HD Sport Center/1.jpg
HD Sport Center,landmark/HD Sport Center/2.jpg
HD Sport Center,landmark/HD Sport Center/3.jpg
Hof van Liere,landmark/Hof van Liere/1.jpg
Hof van Liere,landmark/Hof van Liere/2.jpg
Hof van Liere,landmark/Hof van Liere/3.jpg
Hulhumale' BBQ Beach,landmark/Hulhumale' BBQ Beach/1.jpg
Hulhumale' Main Road,landmark/Hulhumale' Main Road/2.jpg
Hulhumale' Main Road,landmark/Hulhumale' Main Road/3.jpg
Jardin Botanico,landmark/Jardin Botanico/1.jpg
Jardin Botanico,landmark/Jardin Botanico/2.jpg
Jeleni skok,landmark/Jeleni skok/1.jpg
Jeleni skok,landmark/Jeleni skok/2.jpg
Jernbanetorget,landmark/Jernbanetorget/1.jpg
Jernbanetorget,landmark/Jernbanetorget/2.jpg
Jernbanetorget,landmark/Jernbanetorget/3.jpg
Kalibata XXI,landmark/Kalibata XXI/2.jpg
Kalibata XXI,landmark/Kalibata XXI/3.jpg
Kavarna Tromostovje,landmark/Kavarna Tromostovje/1.jpg
Kitsilano Public Pool,landmark/Kitsilano Public Pool/1.jpg
Kitsilano Public Pool,landmark/Kitsilano Public Pool/2.jpg
Kitsilano Public Pool,landmark/Kitsilano Public Pool/3.jpg
Kornmarkt,landmark/Kornmarkt/1.jpg
Kornmarkt,landmark/Kornmarkt/3.jpg
Kungsholmstorg,landmark/Kungsholmstorg/1.jpg
Kungsholmstorg,landmark/Kungsholmstorg/3.jpg
La Chilenita,landmark/La Chilenita/1.jpg
La Chilenita,landmark/La Chilenita/2.jpg
La Chilenita,landmark/La Chilenita/3.jpg
La Muse,landmark/La Muse/1.jpg
La Muse,landmark/La Muse/2.jpg
La Muse,landmark/La Muse/3.jpg
Largo do Carmo,landmark/Largo do Carmo/1.jpg
Largo do Carmo,landmark/Largo do Carmo/2.jpg
Largo do Carmo,landmark/Largo do Carmo/3.jpg
Limelight,landmark/Limelight/1.jpg
Limelight,landmark/Limelight/2.jpg
Limelight,landmark/Limelight/3.jpg
Linko,landmark/Linko/2.jpg
Lisboa Story Centre,landmark/Lisboa Story Centre/1.jpg
Lisboa Story Centre,landmark/Lisboa Story Centre/3.jpg
Ljosanott,landmark/Ljosanott/1.jpg
Ljosanott,landmark/Ljosanott/2.jpg
Ljosanott,landmark/Ljosanott/3.jpg
Lost Lagoon,landmark/Lost Lagoon/1.jpg
